Name,Description,Founding Date,Type,Tags,Locations,Employees,Valuation ($),Twitter followers,Number of tweets (last 30 days),Average likes per tweet (last 30 days),Percentage of tweets with engagement (last 30 days),Alexa Website Rank,Employee Rating,Funding,Latest funding round,Total funding raised
Aceable,Aceable is a company that offers online defensive driving courses via its mobile-first educational platform.,2013,Private,Educationdriver assistanceedtechmobile app,"Austin, US ",195,N/A,3.2 k,18,1.7,83.33%,57316,4.3,,$ 47m (over 3 years ago),$ 55.7m
CoachHub,CoachHub is a digital coaching provider.,2018,Private,Educatione-learningplatformprofessional education,"Berlin, DE Docklands, AUWien, ATBruxelles, BEKøbenhavn, DKParis, FRDublin 1, IE",367,N/A,755,4,2.5,75%,515280,4.4,,$ 30m (over 1 year ago),$ 51.7m
uLesson,uLesson offers an app that helps African students get a better education.,2019,Private,EducationTechnologyapplication softwareedteche-learningplatform, ,239,N/A,8.9 k,25,4.2,92%,39665,4,,$ 7.5m (over 1 year ago),$ 10.6m
Outlier.org,Outlier.org is a company that allows students to take online classes for college credit.,2019,Private,Educatione-learninghigher education,US ,133,N/A,2.1 k,1,7,100%,372268,4.6,,$ 30m (about 1 year ago),$ 46m
VIPKid,"VIPKid is an online education company, offering an American elementary education experience to Chinese students.",2013,Private,Technologyedteche-learninglanguageplatform,"Beijing, CN Dongcheng, CNGouda, NLSan Francisco, US","14,181",3 b,18.8 k,N/A,N/A,N/A,164903,4.1,,$ 150m (over 2 years ago),$ 975m
Lingokids,Lingokids is a provider o educational games for children to improve vocabulary and teach new languages.,2014,Private,Educationcontent curriculumedteche-learning,"Madrid, ES Wilmington, US",173,N/A,3.9 k,4,2,100%,272026,4.1,,$ 40m (12 months ago),$ 62.5m
Codecademy,Codecademy (also known as Ryzac) is an education company offering online training classes on coding.,2011,Private,Technologyconsumer softwarecontent curriculumedtechmobile appplatformtech learning,"New York, US ",533,N/A,507.7 k,111,10.5,95.50%,2296,4.1,,$ 40m (over 1 year ago),$ 87.5m
Udemy,Udemy is a company operating as a marketplace for teaching and learning.,2010,Public,EducationTechnologyadult educationedtechhigher educationplatform,"San Francisco, US Jardim Paulistano, BRGurugram, INDublin, IEDenver, US","1,013",2 b,269.6 k,12,28.2,91.67%,113,4.2,,N/A,$ 295m
Kahoot!,Kahoot! is a provider of a game-based learning platform.,2012,Public,EducationTechnologyedtechgamesplatform,"Oslo, NO Austin, US",110,3.5 b,299,N/A,N/A,N/A,8707,4,,N/A,$ 301.8m
Labster,Empowering the next generation of scientists to change the world with innovative and motivating online simulations.,2011,Private,Educationedteche-learningsimulationvirtual reality,"København, DK København, DKZürich, CHSomerville, US",342,N/A,2.8 k,61,2,83.61%,94842,3.8,,$ 9m (almost 2 years ago),$ 43.7m
Higher Learning Technologies,Revolutionizing education and learning through the mobile platform. We're here to transform lives.,2012,Private,Educationhigher education,"Coralville, US ",72,N/A,913,N/A,N/A,N/A,422951,4.4,,$ 5.5m (over 7 years ago),$ 6.5m
Pear Deck,Pear Deck helps schools optimize their 1:1 programs through interactive synchronized learning experiences.,2014,Private,Educationcontent curriculumedteche-learning,"Iowa City, US El Segundo, USIowa City, USKansas City, US",18,N/A,84.7 k,106,22.8,90.57%,51578,5,,$ 4m (about 5 years ago),$ 5.2m
Noon Academy,Noon Academy is a company that develops an e-learning platform intended to prepare students for their upcoming examinations.,2013,Private,EducationTechnologyedteche-learningplatformtutoring, ,487,N/A,124.4 k,6,7.3,100%,N/A,4.1,,$ 13m (almost 2 years ago),$ 21.6m
